语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：愁
2023/1/20 16:06:28

序号	语句	书名	朝代
110	夫坟虻俱生而起飞，共来食人及牛马，牛马摇头☆☆，不能复食，人者大 [愁] 且死，无于止息，然后求可以厌御之者，已大穷矣。		《太平经》__汉
111	 [愁] 懑在心，自责自过。		《太平经》__汉
112	习驰射，力田积粟，守四封之内， [愁] 居慑处，不敢动摇，唯大王有意督过之也。		《史记》__汉
113	弟子无状，数 [愁] 天师不也。”		《太平经》__汉
114	故民臣悉结舌杜口为暗，虽见 [愁] 冤，睹恶不敢上通。		《太平经》__汉
115	故不择选人而妄事署其职，则名为 [愁] 人而危其国也，则名为乱治政败也。		《太平经》__汉
116	帝王，民臣之父母也，民臣反共欺其父母，使其常用心意 [愁] 困，而不能平其治，咎莫大焉。		《太平经》__汉
117	帝王久 [愁] ，不能拘制其下为奸伪，故天遣三道文出也。		《太平经》__汉
118	夫君无贤臣，父无孝子，师无顺善弟子，其为 [愁] 不可胜言也。		《太平经》__汉
119	心 [愁] 则股肱妄为，手足行运不休止，百姓流荡。		《太平经》__汉
120	故天为生万物，可以衣之；不衣，但穴处隐同活耳， [愁] 半伤不尽灭死也，此名为半急也。		《太平经》__汉
121	“真人已 [愁] 矣☆矣，子其故为愚，何一剧也。”		《太平经》__汉
122	内失其真实，离其本根，转而相害，使人眩乱，君子虽 [愁] 心，欲乐正之。		《太平经》__汉
123	下古大多忧者，以其大多端而生邪伪；更以相高上而相 [愁] 也，因生邪奸出其中也。		《太平经》__汉
124	悉就浮华因还自 [愁] 自害，不得竟其天年也。		《太平经》__汉
125	禁民为恶， [愁] 其难化，反相克贼，急其诛罚。		《太平经》__汉
126	弟子虽多 [愁] 天师，冒死问事，始若有过，已问得解，意大喜，不悔之也。		《太平经》__汉
127	帝王虽 [愁] ，心欲止之，若渴而不能如之何。		《太平经》__汉
128	上皇气至，当助德君治，恐时人行不改易，为恶行以乱正气，毁天宝，故遣吾下，为德君出文，以晓众人，使共常按吾文为行，不复共 [愁] 天地而不犯天禁。		《太平经》__汉
129	愚者难正，自若乱人治，令德君 [愁] 。		《太平经》__汉
130	而帝王治不得大贤明，反与愚者共治，阴阳乱，万变起，常旦夕自苦，得天 [愁] 焉。		《太平经》__汉
131	夫人积愚，不知早学真道善德殊方，以为小事，不知其过积大，乃乱天地百共 [愁] 其帝王，身尚得夭死，不得竟其天年而亡也。		《太平经》__汉
132	夫群愚乃共乱天与地，不独自 [愁] 也，其过乃如此也，天乃得大 [愁] 于是也。		《太平经》__汉
133	夫天地比若影响，不欺人，乃 [愁] 愚人各自欺、自轻、自忽，大咎在此。		《太平经》__汉
134	今念数 [愁] 天师，欲忍不言也，恐与天师相离，终古竟天年，无以复得知之，故冒惭复前假一言。”		《太平经》__汉
