语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：泪
2022/5/26 20:09:03

序号	语句	书名	朝代
191	其天女得脱到家，被两个阿姊皆骂老●，你共他阎浮众生为夫妻，乃此悲啼泣 [泪] 其公母，乃两个阿姊语小女曰：「你不须干啼湿哭，我明日共姊妹三人，更去游戏，定见你儿。」		《敦煌变文》__隋唐五代
192	姑忆念新妇，声彻黄天， [泪] 下如雨，不自舍死，痛切心肠，终朝不食。		《敦煌变文》__隋唐五代
193	即啼哭唤言阿娘，其妹虽然惭耻不看，不那肠中而出，遂即悲啼泣 [泪] 。		《敦煌变文》__隋唐五代
194	拭 [泪] 空中遥（摇）☆杖，鬼神当即倒如麻。		《敦煌变文》__隋唐五代
195	不了慈亲罪因，雨 [泪] 佛前启告。		《敦煌变文》__隋唐五代
196	儿闻此语，雨 [泪] 向前，愿母不赐嗔容，莫作如斯咒誓，慈母作咒，冥道早知，七日之间，母身将死，堕阿鼻地狱，受无间之余殃。		《敦煌变文》__隋唐五代
197	兰即泣 [泪] 悲啼，究问不知事由。		《敦煌变文》__隋唐五代
198	且知慈母罪深，雨 [泪] 浑堆自武，		《敦煌变文》__隋唐五代
199	目连闻说事因由，闷绝号☆雨 [泪] 流，		《敦煌变文》__隋唐五代
200	目连雨 [泪] 向前抱母，掩 [泪] 再三借问，不知体气如何，在生修善既多，何得今朝受苦。		《敦煌变文》__隋唐五代
201	难陀走到佛前头，礼拜如来双 [泪] 流。		《敦煌变文》__隋唐五代
202	晋高贵公司马文王为大将军秉政，褒父母☆ [泪] 所沾着之树，树色惨以（与）语（余）树不同。		《敦煌变文》__隋唐五代
203	目连 [泪] 落忆逍逍，众生业报似风飘，		《敦煌变文》__隋唐五代
204	目连见母 [泪] ☆☆，须臾☆地自浑☆（捶）。		《敦煌变文》__隋唐五代
205	水里之人眼盼盼，岸头之者 [泪] 涓涓。		《敦煌变文》__隋唐五代
206	莫道思量救拔门，眼里参差兼没 [泪] 。		《敦煌变文》__隋唐五代
207	握手丁宁须努力，回头拭 [泪] 饱相看。		《敦煌变文》__隋唐五代
208	或披枷，受鞭考（拷）， [泪] 似流星谁处告，		《敦煌变文》__隋唐五代
209	子骞两 [泪] 前白父曰：「母在〔一〕子寒，母去三子单，愿大人思之。」		《敦煌变文》__隋唐五代
210	目连知是慈母，不觉雨 [泪] 向前。		《敦煌变文》__隋唐五代
211	锡杖敲门三五下，胸前不觉 [泪] ●●。		《敦煌变文》__隋唐五代
212	眼中冷 [泪] 耳中聋，口里强夸心里劣。		《敦煌变文》__隋唐五代
213	君臣悲 [泪] 久之，浑公奏曰：“夫圣人不困不成 王，烈士不困行不彰。		《奉天录》__隋唐五代
214	一寸愁肠似刀割，途中不禁 [泪] 沾襟。		《敦煌变文》__隋唐五代
215	即抱母头而别，出入行哭，悲啼泣 [泪] ，仰天而叹曰：「天若怜我，愿鱼感出，无神休也。」		《敦煌变文》__隋唐五代
216	百（伯）挑（桃）忆朝廷，哽咽 [泪] 交连。		《敦煌变文》__隋唐五代
217	妾忆 [泪] 沾赤石，结恨青箱。		《敦煌变文》__隋唐五代
218	浑公雨 [泪] 而 奏曰：“昔皇帝战于涿鹿，帝舜征于有苗，沛公于项氏争天下，大战七十，小战 四十。		《奉天录》__隋唐五代
219	唯见孤山渺漫，回盼故乡，拭 [泪] 沾衣，心怀郁燠。		《敦煌变文》__隋唐五代
220	景伯双 [泪] 冲目，慷慨畏辞，思忆花容，悲情哽咽。		《敦煌变文》__隋唐五代
221	向至四更，其女遂起梳头，悲伤泣 [泪] ，更亦不言。		《敦煌变文》__隋唐五代
222	子京心情不乐，忽然沥 [泪] 而言曰：「大丈夫秦州刺史，坊州牧伯，却为太山主簿，官位不可卑小。」		《敦煌变文》__隋唐五代
223	诸将相看 [泪] 如雨，莫怪今朝声哽噎，		《敦煌变文》__隋唐五代
224	婢等令速妆，己缘眷恋故人，尚且悲 [泪] 。		《广异记》__隋唐五代
225	满目 [泪] 流看圣主，意徒（图）各愿舍胞胎。		《敦煌变文》__隋唐五代
226	贞夫见之， [泪] 下如雨。		《敦煌变文》__隋唐五代
227	盖闻东流之水，西海之鱼，去贱就贵，于意如何，」贞夫闻语，低头却行， [泪] 下如雨。		《敦煌变文》__隋唐五代
228	天雨霖霖是其 [泪] ，鱼游池中是其意，大鼓无声是其气，小鼓无音是其思。		《敦煌变文》__隋唐五代
229	后妻忽闻此言，满目摧摧下 [泪] 。		《敦煌变文》__隋唐五代
230	又经二（三）载，通前六秋，忽成九载，秋胡至第九载三月三日早朝，忆母泣 [泪] 含悲，叉手殿前，跪王四拜，口奏一言：「臣启陛下：臣闻昊天之重，七日绝浆；网（罔）极之劳，三年泣血。		《敦煌变文》__隋唐五代
231	婆忽闻此语，不觉放声大哭，泣 [泪] 成行，彼此收心。		《敦煌变文》__隋唐五代
232	其新妇闻婆此语，不觉痛切于心，便即泣 [泪] ，向前启言阿婆：「新妇父母匹配，本拟恭勤阿婆；婆儿游学不来，新妇只合尽形供养，何为重嫁之事，令新妇●割于心！		《敦煌变文》__隋唐五代
233	枝枝相当是其意，叶叶相笼是其思，根下相连是其气，下有流泉是其 [泪] 。」		《敦煌变文》__隋唐五代
234	秋胡辞母了手，行至妻房中，愁眉不画，顿改容仪，蓬须长垂，眼中泣 [泪] 。		《敦煌变文》__隋唐五代
235	其母闻儿此语，泣 [泪] 重报儿曰：「吾与汝母子，恩□义重，吾不辞放汝游学。		《敦煌变文》__隋唐五代
236	遂忽见 [泪] 下，灵贞固请之，乃曰：“弟子血祀将绝，无复奈何！		《广异记》__隋唐五代
237	新妇闻婆此语，泣 [泪] 交流，复愿阿婆听说，不喜由绪。		《敦煌变文》__隋唐五代
238	情中不喜，面变 [泪] 下交流，结气不语。		《敦煌变文》__隋唐五代
239	故国未期愁悄悄，乡关思处 [泪] 盈盈。		《敦煌变文》__隋唐五代
240	恋结凄怆，言发 [泪] 下。		《广异记》__隋唐五代
241	语已含啼而拭 [泪] ，「君子容仪顿憔悴，		《敦煌变文》__隋唐五代
242	客感叨烦言切切，主惭寂寞 [泪] 盈盈。		《敦煌变文》__隋唐五代
243	泣 [泪] 呼（吁）嗟之次，又见商人数个，舜子问云：「冀郡姚家人口，平善好否？」		《敦煌变文》__隋唐五代
244	舜子拭其父 [泪] ，与舌舔之，两目即明。		《敦煌变文》__隋唐五代
245	陈（魏）王闻得此言，泣 [泪] 集会群臣，以表其臣：「朕闻有天有地，方☆（万物）生焉。		《敦煌变文》__隋唐五代
246	●（低）头却行， [泪] 下如雨。		《敦煌变文》__隋唐五代
247	发遣车匿却回归，●☆白马 [泪] 双垂，		《敦煌变文》__隋唐五代
248	武士拥至火坑傍，含☆（啼） [泪] 落数千行，		《敦煌变文》__隋唐五代
249	陵闻左右说尊堂，大哭号☆ [泪] 万行，		《敦煌变文》__隋唐五代
250	发遣车匿却回归，●骠（☆）步步 [泪] 双垂。		《敦煌变文》__隋唐五代
251	使有司案检哭者，有 [泪] 以为忠孝，无则罪之，于是群臣震惧，莫不含辛以为 [泪] 焉。		《晋书》__隋唐五代
252	双 [泪] 交流若愉（欲）终，肝肠寸寸如刀切。		《敦煌变文》__隋唐五代
253	使人泣 [泪] 相扶得，沙塞遣出肠中血，		《敦煌变文》__隋唐五代
254	惊觉， [泪] 沾枕席，因为说之。		《广异记》__隋唐五代
255	及居父丧，身不胜衣，言与 [泪] 俱。		《晋书》__隋唐五代
256	但言「好看小孩子，」共永相别 [泪] 千行。		《敦煌变文》__隋唐五代
257	大王为子转加愁，发声大哭 [泪] 交流。		《敦煌变文》__隋唐五代
258	昭军（君）一度登千山，千回下 [泪] ，慈母只今何在？		《敦煌变文》__隋唐五代
259	莫怪适来频下 [泪] ，都为残云度岭西。		《敦煌变文》__隋唐五代
260	涕如连云， [泪] 如湛露。		《晋书》__隋唐五代
261	云庆见和尚再三不肯回避，两（雨） [泪] 悲啼，自家走出寺门，随众波逃。		《敦煌变文》__隋唐五代
262	云庆见和尚去后，再集僧众，将涅盘经疏抄开启讲☆（筵），应是听众，悉皆雨 [泪] ，如见大师无异。		《敦煌变文》__隋唐五代
263	女男得病阿娘忧，未教终须血 [泪] 流；		《敦煌变文》__隋唐五代
264	儿于万里母先于，终日忧愁 [泪] 如雨；		《敦煌变文》__隋唐五代
265	 [泪] 落都缘惜此身，愁生只为忧形质。		《敦煌变文》__隋唐五代
266	日夜专忧分娩苦，等闲惆怅 [泪] 双垂。		《敦煌变文》__隋唐五代
267	往往 [泪] 如婆，时时心似割。		《敦煌变文》__隋唐五代
268	辛苦朝朝有 [泪] 垂，煎熬夜夜无眠睡。		《敦煌变文》__隋唐五代
269	善庆思惟既毕，满目是 [泪] 。		《敦煌变文》__隋唐五代
